MAG,Genus,Tara_sample,layer,Latitude,Longitude,Region,Depth,Oxygen,Salinity,Temperature,Chlorophyll_a,Nitrite,Phosphate,Nitrate_nitrite,Silicate,RPKM
UBA7428_sp2,NS5_F,ERR599122,DCM,-47.1208,-57.8265,South Atlantic Ocean,40,214.842,34.3629,5.8659,NA,0.1185,1.356,18.525,2.661,2.212001948
UBA7428_sp2,NS5_F,ERR599121,DCM,-62.2658,-49.1658,Southern Ocean,90,212.5623,36.5996,20.3973,NA,0.06,2.309,31,81.82,0.270203524
UBA7428_sp2,NS5_F,ERR599104,DCM,-62.2658,-49.1658,Southern Ocean,90,188.763583,39.981867,25.0621,NA,0.06,2.309,31,81.82,0.285153091
UBA7428_sp2,NS5_F,ERR599090,Surface,-62.1363,-49.3331,Southern Ocean,5,237.8893,37.89241,18.36839,0.09175,0.1055,2.1055,28.64,80.55,0.472949767
UBA7428_sp2,NS5_F,ERR599059,Surface,-60.3606,-60.5096,Southern Ocean,5,179.968,40.196433,26.050367,NA,0.266,1.723,25.3,16.55,0.736449076
UBA7428_sp2,NS5_F,ERR599035,Surface,-47.1906,-58.2682,South Atlantic Ocean,5,2.303017,35.901885,15.614195,NA,0.146,1.302,18.005,1.945,2.120075083
UBA7428_sp2,NS5_F,ERR599027,DCM,-47.1208,-57.8265,South Atlantic Ocean,40,211.606583,36.549267,25.37395,NA,0.1185,1.356,18.525,2.661,2.231309976
UBA7428_sp2,NS5_F,ERR599009,Surface,-47.1906,-58.2682,South Atlantic Ocean,5,206.194333,37.101367,23.349542,NA,0.146,1.302,18.005,1.945,1.64965239
UBA7428_sp2,NS5_F,ERR598945,Surface,-60.3606,-60.5096,Southern Ocean,5,0.70843,34.840218,13.014573,NA,0.266,1.723,25.3,16.55,0.742168009
UBA7428_sp2,NS5_F,ERR3589592,Surface,67.1385,0.2443,Norwegian Sea,5,311.9179,35.14372,8.48667,1.07755,0.13475,0.356899,5.1155,4.012069,0.900478029
UBA7428_sp2,NS5_F,ERR3589590,Surface,77.3025,73.2438,Arctic,5,348.536,34.056675,1.243225,0.133275,0.008333,0.047034,0.278,0.244154,10.55466738
UBA7428_sp2,NS5_F,ERR3589588,Surface,72.6601,44.1569,Arctic,5,298.8549,34.92306,7.53177,0.66205,0,0,0.0595,1.725127,4.375059288
UBA7428_sp2,NS5_F,ERR3589586,Surface,76.1663,1.8689,Fram Strait,5,363.047375,34.888288,1.901825,NA,0.101,0.290483,2.7725,4.18531,1.088221594
UBA7428_sp2,NS5_F,ERR3589582,Surface,61.5214,-55.9973,Labrador Sea,5,293.88825,34.212612,5.2939,0.67365,0.31575,0.511975,5.8035,2.252584,0.648298362
UBA7428_sp2,NS5_F,ERR3589581,Surface,71.0704,174.9916,Arctic,5,NA,NA,NA,0.4074,0.125,1.614977,6.2695,30.149509,5.316306914
UBA7428_sp2,NS5_F,ERR3589580,Surface,71.5439,160.9423,Arctic,5,340.518,28.4169,1.4886,0.11755,0.07525,1.195806,1.06325,19.646147,5.673407797
UBA7428_sp2,NS5_F,ERR3589579,DCM,78.3396,91.6416,Arctic,17,373.347333,33.455583,-1.640792,3.0924,0.124,0.307592,1.227,0.851791,3.736468835
UBA7428_sp2,NS5_F,ERR3589578,DCM,74.8283,76.2096,Arctic,30,356.194583,33.646125,-1.533492,1.1666,0.075667,0.482771,2.080833,8.877352,4.381536949
UBA7428_sp2,NS5_F,ERR3589577,Surface,79.2023,66.5078,Arctic,5,368.906875,34.2633,1.421805,0.7967,0.001,0.063634,0.3685,0.523062,7.84160651
UBA7428_sp2,NS5_F,ERR3589576,Surface,64.7609,-53.1069,Labrador Sea,5,323.835062,32.602725,2.49543,NA,NA,NA,NA,NA,1.970686835
UBA7428_sp2,NS5_F,ERR3589575,Surface,69.1094,-51.6368,Arctic,5,303.353,32.991725,3.1961,0.397,0.1665,0.312072,1.916,0.819597,6.259390435
UBA7428_sp2,NS5_F,ERR3589574,Mesopelagic,72.3698,-72.0234,Arctic,491,227.316,34.378169,1.230869,NA,NA,NA,NA,NA,4.468125903
UBA7428_sp2,NS5_F,ERR3589573,Mesopelagic,74.3047,-85.7415,Arctic,441,233.314,34.342505,0.994025,0.0166,NA,NA,NA,NA,2.545661191
UBA7428_sp2,NS5_F,ERR3589572,DCM,74.335,-85.5414,Arctic,36,343.877833,31.947283,-0.409335,1.1827,0.025,0.6443,2.133,4.087196,4.909048534
UBA7428_sp2,NS5_F,ERR3589571,DCM,73.3091,-168.9031,Arctic,35,397.421583,31.56495,-0.987833,0.44755,0.441,0.866194,1.9045,5.566842,5.221482471
UBA7428_sp2,NS5_F,ERR3589569,DCM,78.0015,116.4698,Arctic,20,375.0946,32.741495,-0.67976,NA,NA,NA,NA,NA,3.668257798
UBA7428_sp2,NS5_F,ERR3589568,Surface,74.7997,76.0879,Arctic,5,350.63975,22.047506,3.480781,0.2915,0.014667,0.238302,0.247333,11.775524,1.961836729
UBA7428_sp2,NS5_F,ERR3589566,Surface,78.9222,79.2246,Arctic,5,383.163125,33.595737,-0.083125,1.28735,0.0015,0.056871,0.441,0.273079,5.504436134
UBA7428_sp2,NS5_F,ERR3589565,DCM,72.5971,44.1735,Arctic,40,326.5136,34.976035,3.824545,0.5398,0.063,0.098435,0.821,1.135333,8.710292617
UBA7428_sp2,NS5_F,ERR3589564,DCM,67.18,0.4881,Norwegian Sea,25,304.26005,35.149405,6.7255,0.1779,0.309,0.709183,11.784,4.95809,1.654186747
UBA7428_sp2,NS5_F,ERR3589562,Mesopelagic,64.7598,-53.1206,Labrador Sea,351,273.02835,34.59923,4.20173,0.0244,NA,NA,NA,NA,0.910919863
UBA7428_sp2,NS5_F,ERR3589561,Surface,70.9706,-53.5968,Arctic,5,328.5869,32.08274,1.43901,0.9353,0.128,0.220883,1.24175,1.04231,2.463191139
UBA7428_sp2,NS5_F,ERR3589560,Mesopelagic,70.9125,-53.5349,Arctic,411,229.6853,34.50669,3.03468,NA,NA,NA,NA,NA,1.032935842
UBA7428_sp2,NS5_F,ERR3589559,Surface,72.4769,-71.9329,Arctic,5,353.31105,31.995275,-0.48046,1.39205,0.0895,0.560568,0.411,0.298067,15.92264804
UBA7428_sp2,NS5_F,ERR3589558,Surface,74.3218,-85.9117,Arctic,5,369.1045,30.636767,-1.332965,0.8891,0.0775,0.526245,1.328,2.062045,8.931944669
UBA7428_sp2,NS5_F,ERR3589557,Surface,71.9208,-154.9367,Arctic,5,335.965875,28.604712,2.570037,0.79495,0.0865,0.430504,0.4235,2.822912,3.534882263
UBA7428_sp2,NS5_F,ERR3589556,Surface,73.3833,-168.3333,Arctic,5,369.339,27.38155,-0.618833,0.1969,0.126,0.361653,0.2285,1.424261,13.08341923
UBA7428_sp2,NS5_F,ERR3589555,Surface,77.9295,116.9938,Arctic,5,364.342188,28.576956,0.030106,NA,NA,NA,NA,NA,4.720418943
UBA7428_sp2,NS5_F,ERR3589554,Surface,78.3192,91.7203,Arctic,5,388.2395,32.9488,-1.645825,2.837,0.074,0.216027,0.513,0.465648,6.965432718
UBA7428_sp2,NS5_F,ERR3589553,DCM,78.9332,79.0913,Arctic,35,348.000625,34.456225,-1.298837,4.0907,0.026,0.209065,1.709,0.231772,4.973293118
GCA.002723295_sp1,NS5_B,ERR598965,DCM,-33.832,-73.0366,South Pacific Ocean,35,104.908417,36.530058,25.581433,1.6128,0.359,1.08725,6.80275,0.46,1.301570121
GCA.002723295_sp1,NS5_B,ERR599078,Surface,43.6906,-16.8555,North Atlantic Ocean,5,190.724,35.396729,26.518986,NA,0.3105,0.1595,2.159,1.236,1.182261279
GCA.002723295_sp1,NS5_B,ERR599168,DCM,-5.2476,-85.3343,South Pacific Ocean,40,228.375583,36.3123,17.583075,0.3323,1.202,1.8615,24.3645,10.5045,1.009533616
GCA.002723295_sp1,NS5_B,ERR598942,DCM,35.4118,-127.7122,North Pacific Ocean,45,205.992583,34.748175,24.943108,0.5522,0.06,0.43225,0.92875,2.65725,0.936275212
GCA.002723295_sp1,NS5_B,ERR3589591,Surface,54.5745,-16.8264,North Atlantic Ocean,5,270.945625,35.325105,11.09541,0.35455,0.237125,0.401861,8.035625,0.967928,0.914337033
