run,layer,Latitude_End,Longitude_End,MAG,RPKM
FRAM18_4502_E,DCM,79.61543,-16.525455,MS024.2A_sp5,0.030220199
FRAM18_4502_F,DCM,78.816987,-2.769484,MS024.2A_sp5,0.026223049
FRAM18_4502_G,DCM,79.830552,-0.009995,MS024.2A_sp5,0.016601342
FRAM18_4502_H,DCM,80.160399,0.148768,MS024.2A_sp5,0.026128769
FRAM18_4502_I,DCM,80.489093,0.038608,MS024.2A_sp5,0.032407191
FRAM18_4502_J,DCM,81.161264,-0.078996,MS024.2A_sp5,0.012989819
FRAM18_4502_K,DCM,79.019027,8.007845,MS024.2A_sp5,0.039978605
FRAM18_4514_A,DCM,79.012988,-5.281426,MS024.2A_sp5,0.022659629
FRAM18_4514_B,DCM,80.160399,0.148768,MS024.2A_sp5,0.026363062
FRAM18_4514_C,DCM,80.856194,-0.142645,MS024.2A_sp5,0.014075312
FRAM18_4514_D,DCM,79.011806,7.035105,MS024.2A_sp5,0.027189832
ERR3589560,Mesopelagic,70.9125,-53.5349,MS024.2A_sp5,0.068958856
ERR3589562,Mesopelagic,64.7598,-53.1206,MS024.2A_sp5,0.061404843
ERR3589563,Mesopelagic,61.5128,-55.9886,MS024.2A_sp5,0.020276586
ERR3589570,Mesopelagic,78.1432,115.8086,MS024.2A_sp5,0.021079876
ERR3589573,Mesopelagic,74.3047,-85.7415,MS024.2A_sp5,0.053685602
ERR3589574,Mesopelagic,72.3698,-72.0234,MS024.2A_sp5,0.081417144
ERR3589584,Mesopelagic,54.6568,-16.5728,MS024.2A_sp5,0.013524521
ERR3589585,Mesopelagic,67.2688,0.3537,MS024.2A_sp5,0.015471721
ERR3589593,Mesopelagic,76.0157,1.4071,MS024.2A_sp5,0.018995775
ERR598944,Mesopelagic,43.7649,-16.8935,MS024.2A_sp5,0.00253976
ERR598947,Mesopelagic,-31.056,4.6606,MS024.2A_sp5,0.003918199
ERR598958,Mesopelagic,33.9044,-56.7834,MS024.2A_sp5,0.004178071
ERR598960,Mesopelagic,-35.2792,26.382,MS024.2A_sp5,0.002562621
ERR598964,Mesopelagic,34.155,-49.6942,MS024.2A_sp5,0.003166337
ERR598971,Mesopelagic,2.1008,-84.5107,MS024.2A_sp5,0.003850925
ERR598980,Mesopelagic,31.5319,-159.0668,MS024.2A_sp5,0.003576952
ERR599000,Mesopelagic,-20.9724,-35.2742,MS024.2A_sp5,0.001503252
ERR599004,Mesopelagic,6.3929,-103.0691,MS024.2A_sp5,0.001539583
ERR599005,Mesopelagic,-8.7887,-17.9142,MS024.2A_sp5,0.005622388
ERR599008,Mesopelagic,-61.9898,-49.3613,MS024.2A_sp5,0.005595622
ERR599015,Mesopelagic,14.1468,-116.6821,MS024.2A_sp5,0.00229021
ERR599020,Mesopelagic,-1.8191,-84.6284,MS024.2A_sp5,0.055831561
ERR599021,Mesopelagic,-29.5082,37.9202,MS024.2A_sp5,0.002773717
ERR599033,Mesopelagic,-8.978,-139.2432,MS024.2A_sp5,0.003762548
ERR599034,Mesopelagic,-35.2792,26.382,MS024.2A_sp5,0.002159198
ERR599044,Mesopelagic,-20.3356,-3.2659,MS024.2A_sp5,0.00115438
ERR599047,Mesopelagic,34.6054,-71.2317,MS024.2A_sp5,0.003482535
ERR599048,Mesopelagic,-8.7887,-17.9142,MS024.2A_sp5,0.005416807
ERR599051,Mesopelagic,6.3929,-103.0691,MS024.2A_sp5,0.001239159
ERR599072,Mesopelagic,-23.1719,-129.6713,MS024.2A_sp5,0.007570453
ERR599076,Mesopelagic,14.1468,-116.6821,MS024.2A_sp5,0.002702692
ERR599083,Mesopelagic,-8.978,-139.2432,MS024.2A_sp5,0.003507817
ERR599085,Mesopelagic,-25.8339,-111.8078,MS024.2A_sp5,0.001438013
ERR599086,Mesopelagic,-16.9727,-100.6633,MS024.2A_sp5,0.00713047
ERR599096,Mesopelagic,-8.978,-139.2432,MS024.2A_sp5,0.004384482
ERR599112,Mesopelagic,-15.3216,43.2843,MS024.2A_sp5,0.004652091
ERR599115,Mesopelagic,35.3379,-127.7376,MS024.2A_sp5,0.004332671
ERR599124,Mesopelagic,-30.3455,-43.2924,MS024.2A_sp5,0.001650856
ERR599125,Mesopelagic,-61.9898,-49.3613,MS024.2A_sp5,0.004911909
ERR599127,Mesopelagic,14.1468,-116.6821,MS024.2A_sp5,0.002602502
ERR599131,Mesopelagic,-31.056,4.6606,MS024.2A_sp5,0.003633249
ERR599149,Mesopelagic,-20.3356,-3.2659,MS024.2A_sp5,0.001647771
ERR599152,Mesopelagic,14.1468,-116.6821,MS024.2A_sp5,0.002659139
ERR599154,Mesopelagic,-20.9724,-35.2742,MS024.2A_sp5,0.001306856
ERR599159,Mesopelagic,-30.3455,-43.2924,MS024.2A_sp5,0.001674901
ERR599164,Mesopelagic,-29.5082,37.9202,MS024.2A_sp5,0.003103038
ERR599175,Mesopelagic,6.3929,-103.0691,MS024.2A_sp5,0.001130831
ERR315858,Surface,42.1874,17.7189,MS024.2A_sp5,1.524078819
ERR315861,Surface,42.1874,17.7189,MS024.2A_sp5,1.516593258
ERR315862,Surface,33.9203,32.8411,MS024.2A_sp5,2.504036664
ERR315863,Surface,33.9203,32.8411,MS024.2A_sp5,7.188554696
ERR3589554,Surface,78.3192,91.7203,MS024.2A_sp5,0.178837832
ERR3589555,Surface,77.9295,116.9938,MS024.2A_sp5,0.160974034
ERR3589556,Surface,73.3833,-168.3333,MS024.2A_sp5,0.167973106
ERR3589557,Surface,71.9208,-154.9367,MS024.2A_sp5,0.146915927
ERR3589558,Surface,74.3218,-85.9117,MS024.2A_sp5,0.106619756
ERR3589559,Surface,72.4769,-71.9329,MS024.2A_sp5,0.175731097
ERR3589561,Surface,70.9706,-53.5968,MS024.2A_sp5,0.150119059
ERR3589566,Surface,78.9222,79.2246,MS024.2A_sp5,0.122862929
ERR3589568,Surface,74.7997,76.0879,MS024.2A_sp5,0.065236696
ERR3589575,Surface,69.1094,-51.6368,MS024.2A_sp5,0.16560075
ERR3589576,Surface,64.7609,-53.1069,MS024.2A_sp5,0.182259495
ERR3589577,Surface,79.2023,66.5078,MS024.2A_sp5,0.160522274
ERR3589580,Surface,71.5439,160.9423,MS024.2A_sp5,0.079182342
ERR3589581,Surface,71.0704,174.9916,MS024.2A_sp5,0.131674859
ERR3589582,Surface,61.5214,-55.9973,MS024.2A_sp5,0.087022879
ERR3589586,Surface,76.1663,1.8689,MS024.2A_sp5,0.059100323
ERR3589588,Surface,72.6601,44.1569,MS024.2A_sp5,0.295993642
ERR3589590,Surface,77.3025,73.2438,MS024.2A_sp5,0.125315075
